Name,Description,Tactics,Type,Tier,Diff,Bonus,Attack,Distance,Damage,Effect,Major,Severe,HP,Stress,Experiences,Feature1,Action1,Text1,Quote1,Feature2,Action2,Text2,Quote2,Feature3,Action3,Text3,Quote3,Feature4,Action4,Text4,Quote4,Feature5,Action5,Text5,Quote5,Feature6,Action6,Text6,Quote6,Feature7,Action7,Text7,Quote7
Young Ice Dragon,A glacier-blue dragon with four powerful limbs and frost-tinged wings.,"Fly, Freeze, Maul, Avalanche, Gather Horde, Defend Lair",Solo,3,19,7,Bite and Claws,Close,2d10+18,phy,23,43,11,6,Aristocrat +3,Relentless (3),Passive,Young Ice Dragon may activate three times in one GM move.,“The dragon moves with peerless speed.”,Rend and Crush,Passive,"If a target damaged by Young Ice Dragon does not mark armor to reduce damage, they must mark a Stress.",“The dragon’s icy claws chill your blood.”,Terrifying,Passive,Any character that rolls a result with Fear within Far range of this adversary loses a Hope.,“The dragon’s presence heightens all your fears.”,Blizzard Breath,Action (3),"All creatures in front of the Young Ice Dragon within Close range must make an Agility Reaction Roll (19). On a failure, they take 4d6+5 magic damage and become Restrained by shards of ice until they break free with a Strength roll. Targets that succeed on the Reaction Roll must mark 2 Stress or take half damage. This uses all three of this adversary’s activations.",“The dragon unleashes an icy blast that freezes you in place.”,Avalanche,Action - Fear,"Spend a Fear to have the Dragon unleash a huge downfall of snow and ice, covering all targets within Far range. All PCs within the area must make an Instinct Reaction Roll (18) or be buried in snow and rocks, becoming Vulnerable until the next time they act. Each target that fails the roll also adds a token to the action tracker.","“The dragon leaps up and beats their wings, causing an avalanche of snow and rocks.”",Frozen Scales,Reaction,"Any character that hits the Young Ice Dragon from within Very Close range becomes chilled, giving them disadvantage on Attack Rolls until their next short rest or when they next clear Stress.",“A burst of icy air stiffens your joints.”,,,,
Arch-Necromancer,,"Disable, Corrupt, Resurrect, Flee to Fight Another Day",Leader,4,23,6,Necrotic Blast,Far,2d10+25,mag,33,66,10,8,"Ancient Knowledge +2, Wisdom of Centuries +3",Dance of Death,Action,Mark a Stress to activate 1d4 additional adversaries. Any attacks they use deal ½ damage. You may also spend a Fear per attack to have them attack and deal full damage instead.,“The undead dance like marionettes on the Arch-Necromancer’s strings.”,Beam of Decay,Action,Mark 2 Stress to target any number of creatures within Close range in front of this adversary and anything behind them within Far range. Targets must make a Reaction roll with Strength (23) or suffer 2d20+12 magic damage (half damage on success). Any target that suffers Major or worse damage also marks 2 Stress and becomes Vulnerable until after their next action.,“The Arch-Necromancer unleashes a powerful beam of entropic energy.”,Your Life Is Mine,Reaction,"Countdown (Loop 2d6) Activate when Arch-Necromancer has marked 6 or more of their HP. It ticks down every time a token is placed on the action tracker. When triggered, deal 2d10+6 direct magic damage to a target within Close range. Arch-Necromancer clears a number of Stress or HP equal to those marked by the target from this attack.",“A burst of power sucks life energy from you and refreshes the Arch-Necromancer’s power.”,Open the Gates of Death,Action,"Spend a Fear to summon a Zombie Legion at Close range, which instantly activates.",“The Arch-Necromancer conjures a pack of powerful undead.”,"Not Today, My Dears",Reaction,"When this adversary has marked 8 or more of their HP, spend a Fear to have them teleport away to a safe location to recover. A character may roll with Instinct (23) to trace the teleportation magic to its destination.","“Bloodied, the Arch-Necromancer opens a portal and steps through, taunting you as they go. But when they’ve disappeared, a trail of magic remains that you might be able to follow.”",,,,,,,,
Fallen Shock Troop,Cursed souls bound to the Fallen’s will.,"Crush, Dominate, Punish, Earn Relief",Minion,4,18,2,Cursed Axe,Very Close,13,phy,,,1,1,,Minion (13),Passive,"This adversary is defeated if they take any damage. For every 13 damage a PC deals to this adversary, they also deal 1 HP to an additional minion within this attack’s range.","“You cut through them effortlessly, one to the next.”",Group Attack,Action,"Choose a target and activate every Fallen Shock Troop within Close range of them. Those minions move into melee with the target and make one shared attack roll. On a success, they deal 13 phy damage each. Combine this damage together.","“They descend on you, stronger together.”",Aura of Doom,Passive,A character that marks HP from an attack by this adversary also loses Hope.,"“The fallen tear into you, wounding your body and spirit alike.”",,,,,,,,,,,,,,,,
Fallen Sorcerer,A powerful mage bound by the bargains they made in life.,"Dominate, Acquire, Dishearten, Torment",Support,4,20,4,Corrupted Staff,Far,2d8+12,mag,26,42,7,5,Forbidden Knowledge +3,Slippery,Reaction,"When this adversary takes damage from an opponent, they teleport away up to Far range.","“As soon as your blow lands, the sorcerer disappears in a plume of sulfrous smoke and repositioned.”",Shackles of Guilt,Action,"Countdown (Loop 2d6) Activate when a hostile creature is spotted. It will tick down every time a token is placed on the action tracker. When triggered, all targets within Far range become Vulnerable as they relive their greatest regrets. All targets immediately mark Stress. They may roll with Presence or Strength (18) to try to break free. Each time a character fails to break free, they lose Hope.","“The sorcerer raises their arms and you feel invisible chains wrap around you body and soul, crushing you with the weight of all your guilt.”",Conflagration,Action,"Spend a Fear to make an attack roll to unleash a firestorm that consumes all opponents within Close range. Any you succeed against take 2d10+6 magic damage. The firestorm persists until the next success with Hope, and each character that begins their action in the firestorm takes 2d8+8 direct magic damage.",“The sorcerer cackles with delight as the battlefield bursts into flame.”,Nightmare Tableau,Action,"Mark a Stress to create a powerful illusion that traps a target within Far range in a tableau of their worst fears. While trapped they are Restrained and Vulnerable, but may break free by succeeding on a roll with Instinct (18). On a failure of any kind on that roll, the GM takes a Fear. Each time a trapped character makes a roll to escape, the Fallen Sorcerer must mark Stress or 1 HP or choose to release the PC.","“All at once, you’re carried away to a terrifying vision, the battle left behind.”",,,,,,,,,,,,
Fallen Warlord: Realm-Breaker,"A Fallen God, wreathed in rage and resentment and bearing millenia of experience at breaking heroes’ spirit.","Corrupt, Dominate, Punish",Leader,4,22,7,Barbed Invective Whip,Close,4d8+20,phy,40,80,7,5,"Conquest +3, History +2, Intimidation +3",Relentless (2),Passive,This adversary may activate twice in a GM move (still requires two action tokens).,"“The Warlord is a paragon of battle, an unstoppable force.”",Doombringer,Reaction,"When a character marks HP from an attack by this adversary, all PCs within Far range of the target lose Hope.","“Their blows carry the weight of doom, each one diminishing your hopes of victory.”",Firespite Plate Armor,Passive,"Any time Realm-Breaker takes damage, reduce that damage by 2d10.",“Armor of fiery resentment protects the warlord from your blows.”,Tormenting Lash,Action,Mark a Stress to make a Barbed Invective Whip attack against all targets within Very Close range. Each use of armor to reduce damage from this attack requires marking two armor slots.,"“The warlord whirls their lashing whip around them, eviscerating anyone within range.”",All-Consuming Rage,Action,"Countdown (Loop 8 Decreasing) Activate when a hostile creature is spotted. This ticks down every time a token is placed on the action tracker. When triggered, create a torrent of incarnate rage that rends flesh from bone. All other creatures within Far range must make a Presence Reaction Roll (22). Any that fail take 2d6+10 magic damage that cannot be reduced by armor.. Creatures that succeed take half damage. For each HP marked, summon one Fallen Shock Troop within Very Close range of the injured target.","“The Warlord’s rage takes physical form as a cutting wind. And every time it cuts you, the wind coalesces into another Fallen servant.”",I Have Never Known Defeat (Phase Change),Reaction,"When Realm-Breaker marks their last HP, replace them with Undefeated Champion. You may spend a Fear to activate them immediately.","“The Warlord monologues about their inevitable victory, punctuated by transforming their whip into a massive barbed greatsword.”",,,,
Fallen Warlord: Undefeated Champion,,"Rant, Punish the Defiant, Secure Victory at Any Cost",Leader,4,20,8,Heart-Shattering Sword,Very Close,5d10+20,phy,35,65,8,5,"Unflinching +3, Intimidation +6",Relentless (3),Passive,This adversary may activate three times in a GM move (still requires three action tokens).,"“The Warlord fights with the indomitable will, reminding you that they were, in fact, a god.”",Doombringer,Reaction,"When a PC marks HP from an attack by Undefeated Champion, all characters within Far range of the target lose Hope.","“Every blow that lands saps your will to fight, proof of the warlord’s superiority.”",Faltering Armor,Passive,"Any time Undefeated Champion takes damage, reduce that damage by 1d10.","“Though damaged, the armor still weakens your blows.”",Shattering Strike,Action,Mark a Stress to make a Heart-Shattering Sword attack against every target within Very Close range. Targets hit by this attack lose Hope equal to the HP marked from the damage.,“The Fallen’s sword cleaves through body and spirit.”,Endless Legions,Action,Spend a Fear to summon a number of Fallen Shock Troops equal to twice the number of players. They appear at Far range.,"“The Warlord blows a twisted horn, and their followers answer, swarming the field.”",Circle of Defilement,Reaction,"Countdown (2d4) Activate when a hostile creature is spotted. This ticks down every time a token is placed on the action tracker. When triggered, activate a magical circle covering any area within Far range. All opponents within the area are now Vulnerable. This circle can be removed by completing a Progress Countdown (6) with a difficulty of 22.","“The Warlord carves a burning circle of magic in the ground, weakening any foes that step inside.”",,,,
Hallowed Archer,Spirit soldiers with sanctified bows.,"Obey, Volley, Reposition, Focus Fire",Ranged,4,19,4,Sanctified Longbow,Far,4d6+8,phy,25,45,3,2,,Punish the Guilty,Passive,Hallowed Archers deal double damage to characters marked by the High Seraph as Guilty.,"“Their arrows are drawn to your guilt, hammering you as the gods’ judgment made manifest.”",Divine Volley,Action,Mark Stress to attack up to three targets with one Longbow attack.,"“The archers’ arrows split in the air, seeking several targets.”",,,,,,,,,,,,,,,,,,,,
Hallowed Soldier,"Souls of the faithful, lifted up with divine weaponry.","Obey, Swarm, Outmaneuver, Punish",Minion,4,18,2,Sword and Shield,Melee,12,phy,,,1,2,,Minion (13),Passive,"This adversary is defeated if they take any damage. For every 13 damage a PC deals to this adversary, defeat an additional minion in the attack’s range.","“You cut through them effortlessly, one to the next.”",Group Attack,Action,"Choose a target and activate all Hallowed Soldier within Close range of them. Those minions move into melee with the target and make one shared attack roll. On a success, they deal 12 phy damage each. Combine this damage together.","“They descend on you, stronger together.”",Flight,Passive,Hallowed Soldier can fly up to Far range as part of activating.,“Their glowing wings bear them up and ever-forward for their god’s glory.”,,,,,,,,,,,,,,,,
High Seraph,"A divine champion, head of a hallowed host of warriors that enforce their god’s will.","Enforce Dogma, Fly, Smite, Pronounce Judgment",Leader,4,22,8,Holy Sword,Very Close,2d10+20,phy,40,80,13,5,Divine Knowledge +3,Relentless (2),Passive,This adversary may activate twice in a GM move (still takes 2 tokens).,“The Seraph moves with impossible speed and grace.”,Divine Flight,Passive,High Seraph can fly a Far distance as part of an activation.,"“Their wings are pure light, bearing them through the skies with ease.”",Judgment,Action,"Spend a Fear to mark a character as Guilty in the eyes of the High Seraph’s god. Only one character may be marked by High Seraph at a time. While so marked, the target does not gain Hope on a result with Hope. When High Seraph hits a target marked as Guilty, they deal physical damage equal to 20+the target’s Major threshold (instead of their normal attack damage).","“As the High Seraph pronounces you guilty, the weight of judgment hangs on you with impossible weight.”",God Rays,Action,Mark a Stress to reflect a sliver of divinity as a searing beam of light that hits up to twenty targets within Very Far range. Anyone hit by the beam must make a Presence Reaction Roll (22) or suffer 4d6+8 magic damage. Targets marked as Guilty have disadvantage on this roll. Anyone that succeeds on the roll takes half damage.,"“The High Seraph raises their sword, reflecting a light that is impossibly bright and sears your very soul.”",We Are One,Action,Activate every one of High Seraph’s allies within Far distance. Their attacks deal half damage. This uses both of High Seraph’s activations.,"“Their leader commands them forward, and the host moves as one.”",,,,,,,,
Kraken,"A legendary beast of the sea, bigger than the largest galleon, with sucker-laden tentacles and a terrifying maw.","Crush, Consume, Grapple, Drown",Solo,4,20,7,Tentacles,Close,4d20,phy,35,70,10,8,Swimming +3,Relentless (2),Passive,May activate twice in a GM move.,"“The Kraken is constantly moving, advancing and repositioning to continue their assault.”",Many Tentacles,Passive,"When using a Tentacles attack, this adversary can make their attack roll against two targets in range per activation. This feature is inactive while Kraken has 8 or more marked HP.",“The Kraken’s countless tentacles lash out at multiple targets at once.”,Grapple & Drown,Action,"Make an attack roll against a target within Close range. If successful, mark a Stress to have the Kraken grab them in one of its tentacles, dragging them beneath the water. They are Restrained and Vulnerable and must mark stress for every action token placed on the tracker until they are no longer grabbed. The target can break free with Strength roll or by the PCs dealing at least Major damage to the Kraken with the intent of freeing the grabbed character.",“The tentacle wraps itself around you and pulls you down to a watery grave.”,Boiling Blast,Action,"Spend a Fear to have the Kraken spew a line of boiling water at any number of targets in a line up to Far range. All targets must make an Agility Reaction Roll (20). On a failure, they take 4d6+20 physical damage. If they use any number of armor slots to reduce the damage, they must also mark one Stress.",“The Kraken spits out a torrent of boiling water that would cook you alive in your armor.”,,,,,,,,,,,,
Oracle of Doom,"A towering immortal and incarnation of fate, cursed to only see bad outcomes.","Toss Aside, Change Environment, Dishearten, Condemn",Solo,4,20,8,Psychic Attack,Far,2d8+30,mag,40,80,13,10,Boundless Knowledge +4,Terrible Knowledge,Passive,The Oracle of Doom instantly knows a personal nightmare of every mortal that comes within their sight.,"“The Oracle seems to know exactly what you’re afraid of, as if it has observed your nightmares.”",Vengeful Fate,Reaction,"Any time this adversary marks HP from an attacker within Very Close range, mark a Stress to send the attacker flying back to Far range, dealing them 2d10+10 phy damage. Damaged targets may make an Agility Reaction Roll (20) to take half damage instead.",“The Oracle bats you away as casually as you might swat a bug.”,Walls Closing In,Passive,"Any time a target within Very Far of Oracle of Doom rolls a failure, they mark a Stress.",“Each failure adds a brick to a wall of worry that this might be your personal Doom.”,Pronounce Fate,Action,"Fear. Spend a Fear to present a target within Far range with a vision of their personal nightmare. The target must make a Knowledge Reaction Roll (20) or lose all Hope and take 2d20+12 magic damage that cannot be reduced by armor. On a success, they take half damage and lose only 1 Hope.",“The Oracle levels a massive finger at you and you are transported to your worst nightmare.”,Summon Tormentors,Action,Mark a Stress to summon 2d4 minions relevant to one of the PC’s personal nightmares at Close range to the PC (Tier 2 or below). This can only be performed once per party member.,"“The Oracle claps, and terrors emerge from a cloud of mist to bring your fears to life.”",,,,,,,,
Outer Realms Abomination,"A chaotic mockery of life, constantly in flux.","Demolish, Undermine, Warp",Bruiser,4,21,+2d4,Massive Pseudopod,Very Close,4d6+20,mag,35,71,9,5,,Chaotic Form,Passive,"Each time this adversary attacks, roll 2d4 and use that as their attack modifier (as reflected in the attack modifier section).","“The beast’s form is constantly in flux, attacking with a differently-shaped pseudopod each time.”",Disorienting Presence,Passive,"Targets damaged by this adversary must make an Instinct Reaction Roll (21). On a failure, they immediately place a token on the action tracker.","“The abomination’s strikes come at odd angles and attack your very sense of self, disrupting your battlefield awareness.”",Unreal Form,Reaction,"When this adversary takes damage, reduce that damage by 1d20.","“Your blow hits the creature’s form as if it was rock. No, wood. It’s different every time.”",Reality Quake,Action,"Spend a Fear to rattle the edges of reality near this adversary. All targets within Far range must make a Knowledge Reaction Roll (21). Any who fail become un-stuck from reality until the end of the scene. While an un-stuck target spends Hope or Armor Slots or marks Hit Points or Stress, they must always spend/mark double the amount. Targets that succeed mark a Stress.","“The creature twists into itself, then pulses, shaking the walls of reality and untethering you from this realm.”",,,,,,,,,,,,
Outer Realms Corrupter,"A chaotic mockery of life, constantly in flux.","Demolish, Undermine, Warp",Support,4,19,7,Corroding Pseudopod,Very Close,2d10+7,mag,27,47,5,3,,Will-Shattering Touch,Passive,Targets damaged by Outer Realms Corrupter lose a Hope.,"“The pseudopod burns your flesh, but worse, it burns your resolve.”",Disgorge Reality Flotsam,Action,Mark a Stress to spew partially-digested portions of consumed realities at all targets within Close range. Targets must make a Knowledge Reaction Roll (20). Any that fail mark 2 Stress.,“The creature barfs forth dejecta and effluvia from dead worlds.”,,,,,,,,,,,,,,,,,,,,
Outer Realms Thrall,Vaguely-humanoid forms stripped of memory and identity.,"Disorient, Disgust, Destroy, Warp",Minion,4,17,3,Claws & Teeth,Very Close,11,mag,,,1,1,,Minion (13),Passive,"This adversary is defeated if they take any damage. For every 13 damage a PC deals to this adversary, defeat an additional minion in the attack’s range.","“You cut through them effortlessly, one to the next.”",Group Attack,Action,"Choose a target and activate all Outer Realm Thralls within Close range of them. Those minions move into melee with the target and make one shared attack roll. On a success, they deal 11 phy damage each. Combine this damage together.","“They descend on you, stronger together.”",,,,,,,,,,,,,,,,,,,,
Perfected Zombie,"A towering, muscular zombie with magically-infused strength and skill.","Consume, Hound, Maim, Terrify",Bruiser,4,20,4,Greataxe,Very Close,2d20+12,phy,40,70,8,4,,Fearsome Presence,Passive,The GM gains a Fear whenever a PC rolls with Fear within Very Close distance of Perfected Zombie. They may not select the ‘Gain a Fear’ GM move for this roll result.,"“Their very existence undermines your confidence, as death triumphs over life.”",Memento Mori,Action,"Mark a Stress to make a Greataxe attack against all targets within Very Close Range. Targets damaged by an attack from Perfected Zombie are knocked back to Close range and must mark an armor slot after taking damage. If they can’t, they mark an additional hit point.","“The zombie raises their greataxe and spins, carving through everything in their way.”",Skilled Opportunist,Reaction,"When another adversary damages a target within Very Close of Perfected Zombie, remove a token from the action tracker to have Perfected Zombie add damage from their Greataxe to that attack.","“They watch the battle with great tactical awareness, taking advantage of openings created by their allies.”",,,,,,,,,,,,,,,,
Volcanic Dragon: Ashen Tyrant,"No enemy has ever had the insolence to wound the dragon so. As the lava settles, it is ground to ash like the dragon’s past foes.","Choke, Fly, Intimidate, Kill or Be Killed",Solo,4,18,10,Claws and Teeth,Close,2d8+30,phy,26,57,7,5,Military Scholar +5,Relentless (4),Passive,This adversary may activate four times in a GM move.,"“The dragon’s desperation drives them constantly forward, never letting up pressure.”",Injured Wings,Passive,Attack rolls against this creature while it is flying are at +1 difficulty.,"“The dragon takes flight on injured wings, moving more slowly but with ample skill.”",Ashes to Ashes,Reaction,"Whenever a target within Close distance of Ashen Tyrant rolls a failure, they lose a Hope. If they can’t, they mark a Hit Point.","“Injured and enraged, the dragon’s unrestrained presence grinds down your will to fight.”",Desperate Rampage,Action,"Mark a Stress to make an attack against all targets within Close range. Any target hit by this attack takes 2d20+2 phy damage, marks Stress, and is knocked back to Close range.","“The dragon thrashes, slashing and swiping in every direction as they try to finish you off.”",Ashen Cloud,Action,Spend a Fear to smash the ground and kick up ash everywhere within Far range. Any actions involving perception through the space (including ranged attacks) are at disadvantage. Any creature taking an action within the ash cloud adds two tokens to the action tracker instead of one. This cloud clears the next time the GM spends every token on the action tracker.,"“The dragon crushes the ground nearby, kicking up a great cloud of ash that obscures your vision and fills your lungs with choking despair.”",Apocalyptic Thrashing,Action,"Countdown (1d12) Spend a Fear to activate. This ticks down every time a token is placed on the action tracker. When triggered, Ashen Tyrant thrashes about, causing environmental damage (earthquake, avalanche, collapsing walls, etc.) All targets within Far range must make a Strength Reaction Roll (18) or suffer 2d10+25 phy damage and become Restrained in the rubble. Any restrained targets can break free with Strength. Targets that succeed only take half damage and are not Restrained. If Ashen Tyrant is defeated while this countdown is active, trigger it immediately as the dragon’s death throes.","“The dragon’s thrashing causes havoc on the scale of a natural disaster, bringing down rubble and destroying their surroundings.”",,,,
Volcanic Dragon: Molten Scourge,"Enraged by their wounds, the dragon bursts into molten lava.","Incinerate, Douse with Lava, Repel Invaders, Reposition",Solo,4,20,9,Lava-coated Claws,Close,4d6+20,phy,30,58,7,5,Military Scholar +5,Relentless (3),Passive,This adversary may activate three times in a GM move.,"“The dragon moves with liquid grace, lava-coated claws searing the air.”",Shattering Might,Action,"Mark a Stress to attack a target within Very Close range. If successful, it deals 4d8+20 phy damage. Creatures hit by Shattering Might are knocked away to Close range and add a token to the action tracker.","“The dragon’s blow tears into you, stunning you for a moment before you shake it off to rejoin the fight.”",Volcanic Breath,Reaction,"Any time this adversary is dealt Major damage, roll 1d10. On an 8+, this creature breathes a flow of lava on all targets in front of them within Far range. They must make an Agility Reaction Roll (20). On a failure, they take 2d20+12 phy damage, mark 1d4 Stress, and are Vulnerable until they clear a Stress. On a success, they take half damage and mark 1 Stress.",“The dragon retaliates with a fountain of lava breath that cooks you within your armor.”,Eruption,Action,"Spend a Fear to erupt lava from beneath this adversary’s scales, filling the area in Very Close range around them with molten lava. Any targets in that area must make an Agility Reaction Roll (20) or take 4d6+8 phy damage and be pushed out into Close range. This area remains lava that deals 4d6+8 damage to anyone who enters it until the battle is over.","“The dragon erupts like a living volcano, rivers of lava splashing and flowing across the battlefield.”",Lava Splash,Reaction,"Whenever Molten Scourge takes Severe Damage, molten blood gushes forth from the wound dealing 2d10+8 direct phy damage to the attacker if they are within Very Close range.","“The dragon’s blood boils, splashing with unbearable heat and burning you.”",Cracked Scales,Reaction,"Any time Volcanic Dragon takes damage, it reduces that damage by 1d8.","“Though damaged, the dragon’s scales still blunt some of your attack.”",Ashen Vengeance (Phase Change),Reaction,"When Molten Scourge marks their last HP, replace them with Ashen Tyrant. Spend a Fear to have them activate immediately.","“Wounded, the cooling lava hardens and then bursts into a cloud of ash as the dragon reveals their final form.”"
Volcanic Dragon: Obsidian Predator,A massive winged creature with obsidian scales and impossibly sharp claws.,"Hunt, Fly, Divebomb, Intimidate, Defend Lair",Solo,4,19,8,Obsidian Claws,Close,2d10+25,phy,33,65,7,5,Military Scholar +5,Relentless (2),Passive,This adversary may activate two times in a GM move.,"“The dragon presses the attack, hounding you like prey.”",Flying,Passive,Attack rolls against this creature while it is flying are at +3 difficulty.,"“They take to the sky, great wings slicing through the air.”",Avalanche Tail,Action,"Mark a Stress to make a tail attack against all targets within Close range. Any hit by Avalanche Tail take 4d6+8 phy damage and are knocked back to Close range, becoming Vulnerable until their next roll with Hope.","“The dragon spins, obsidian tail coming down on you like a rockslide.”",Divebomb,Action,"If this adversary is flying, mark a Stress to pick a spot within Far range. Make an attack against all targets within Very Close range of that spot. Any you succeed against take 2d10+12 phy damage. Targets hit by Divebomb also mark a Stress and lose a Hope.","“The dragon’s wings fold in as it dives, crashing down with their entire weight.”",Obsidian Scales,Reaction,"Any time Obsidian Predator takes damage, it reduces that damage by 2d8.","“Your blows crack and chip the obsidian plates, but do not dig as deep as you’d hoped.”",Erupting Rage (Phase Change),Reaction,"When Obsidian Predator marks their last HP, replace them with Molten Scourge. Spend a Fear to have them activate immediately.","“Incandescent with rage, the dragon’s scales burst into molten lava.”",,,,
Zombie Legion,"A large pack of undead, rotting flesh still powerful.","Surround, Shred Flesh, Consume Target’s Brain",Horde (3/HP),4,17,2,Tentacles,Close,4d6+20,phy,25,45,8,5,,Unyielding,Passive,Zombie Legion has resistance to physical damage.,"“Your blows carve flesh like lumber, but they seem to ignore their injuries.”",Relentless (2),Passive,Zombie Legion may activate twice in a GM move (still takes two action tokens).,"“The horde keeps coming, never stopping their attack.”",Overwhelm,Reaction,"When a creature within Melee distance deals damage to Zombie Legion but it does not cause Zombie Legion to mark at least Major damage, mark a Stress to have Zombie Legion immediately make an attack against that creature with advantage.","“The legion surrounds you, two closing in for every one you fell.”",Horde (2d6+10),Passive,"If Zombie Legion has half or more of its Hit Points marked, its attack only deals 2d6+10 phy damage.","“Their numbers diminished, the legion doesn’t pose as much of a threat.”",,,,,,,,,,,,
